cleaned_message,sentiment
mu strong close peak profit from our signal at am,Bullish
mu seem like every time mu hit it die tomorrow,Bearish
mu highest close since sometime in june of think,Bullish
amd mu mrvl this week go like last week do so far what time to be invest,Bullish
mu some asshat put like on the ask with second to go in close didnt wanna see what bitch,Bullish
mu lol couldnt give us that last penny bastage,Bullish
gs beautiful entry,Bullish
amd be of good individual investor stock in decade will come soon than later amd stock have provide profit return since its turn around on february year of perfect corporate and company execution bears shorts intel contra fund etc have prove wrong and useless for more than straight year intc gs,Bullish
nyse quotsellquot signal generate for the follow issue goldmansachs gs last trading sell at market st target place gtc stop loss order,Bearish
examine expire machine generated signals starters stock feb wk weekly win rate barchart signalclubioexpiredsignalsstartersfebwkw ntdoy chartincreasing feb wk gt chartincrease from to correct dnkn chartincreasing feb wk gt chartincrease from to correct labd chartincreasing feb wk gt chartdecrease from to missed abbv chartincreasing feb wk gt chartincrease from to correct,Bullish
fb quick test of the ema support this morning and then straight up clear the ema and were home free light volume in the gap above up to red macd look tired and ready to turn,Bullish
shop tsla fb aapl twtr,Bullish
fb this be on monday morning before pivotal,Bullish
fb build quick bull flag start with that big pole this morning,Bullish
fb hahaha silly bear,Bullish
fb its go time,Bullish
fb load call go to be fire,Bullish
fb here we go,Bullish
fb shakeouts before the real move up in coming day dont regret,Bullish
stc nflx mar,Bullish
ulta panw nflx clean clean chart to sleep on,Bullish
nflx goo,Bullish
nflx i be on fire bbq in play,Bullish
nflx break this wall,Bullish
nflx fb nice move chartincrease moneybag checkmark,Bullish
nflx fraud,Bearish
tsla shop nflx on mission to destroy short career,Bullish
stc nflx feb up against resistance still have ton of later date call and spread prob sell some otm call here against exist call,Bullish
goog pull back i be expect,Bearish
mu tech overdue for profit takingbut long term great,Bullish
mu like i have say always sell good amount when you see big upgradei sell up nearly buck an kept som long haulbuy on downgrade be do this many year,Bullish
mu have approximately usd go to the short side at pct short the bears be few,Bullish
dip be an opportunity to buy the way some folk look at thing make them make some wrong decision some folk would say this be rabbits head some would say this be ducks head amd fb nflx msft mu,Bullish
mu qq xlk update micron stock rally as another analyst affirm memory chip market recovery,Bullish
tsla jpm buy worth tesla last quarter jpm,Bullish
jpm have approximately usd go to the short side at pct short the bears be few,Bullish
stock for you to swing trade dbx gcp sfix,Bullish
msft my itm call be under attack outty sell to the next sucker,Bearish
twtr,Bullish
twtr hurry,Bullish
twtr sell at buy around its coil,Bullish
twtr be red ever since er pop,Bullish
twtr let us go green you piece of crap,Bullish
twtr look good the rabblerouser with little skin in the game short have do their selling,Bullish
twtr this be what happen when you have ceo who could care less about shareholder,Bearish
twtr bounce off support as mention yesterday and again today now chartincreasing,Bullish
twtr,Bearish
msft corona be the reason why rate will not rise we may cut rate,Bullish
msft prepare for liftoff launch pad create,Bullish
msft dip arent meant for waiting theyre meant to be bought spy spce,Bullish
msft be that all the dip you get cool your rsi bit more girl,Bullish
i will repeat this because people be get pump by dumbsses on this crap msft its up in trading day and bull think this be oversold lmfao this board be full of idots do not buy call youve been warned,Bearish
oxy bx msft no stop the machine keep short sore loser bear,Bullish
amt cci good play especially after the big sprint and mobile merger aapl,Bullish
amt upgrades should come follow the merger of sprint and mobile cci aapl,Bullish
aapl virnetxs stock rallies after court denied apple rehearing of patent infringement case marketwatch,Bearish
i go to docu from dltr lead the sign document space and most likely will get acquire by adbe msft aapl,Bullish
aapl i tell you all this virus be bad and apple be head to percent in phone sale in china come,Bearish
aapl,Bullish
green and go high aapl tsla amzn spy btcx,Bullish
spy antitrust breakup of large tech drive this rally in my opinion googl aapl amzn fb,Bullish
spy add more aapl put because i be degenerate,Bearish
ethx jpmorgan in talk to merge blockchain unit with consensys reuters jpm,Bullish
chgg all college student use this for chegg study and to rent book i have be use it myself that past few year,Bullish
chgg sp now er tonight and feb call get much love today low put volume expectation risk may be bit elevated but also good chance for second gap up on the er these often occur twice in row when come off of recent low lt ascend channel above at to,Bullish
chgg grab some call love yougesturemediumskintone,Bullish
chgg where be we head after the er,Bullish
chgg slow down so i can get in,Bullish
chgg last er be an epic beat follow by nice spike stock hasnt do all that much since then although have rise of course hopefully coil for another spike high,Bullish
how do this affect your portfolio rs price may climb as it break low bollinger band view odd of uptrend,Bullish
double top signal alert rs more insight,Bearish
hold long womanraisinghandselector sparklingheart amzn nflx nvda fb aapl,Bullish
fb absolutely beautiful dip this morning,Bullish
fb green soon rocket strap in,Bullish
lol amd fb nflx msft mu,Bullish
fb back over this week spy,Bullish
interesting action on ttm recently have be in downward spiral since the but start to show sign of life down here with series of low high and recent close above the level gm tsla,Bullish
choppy year for gm but it have be on point with that bounce to with strong support at the level will be on watch for scalp trade to from here gm tsla ttm fcau,Bullish
goog lets get some volume,Bullish
dbx come to sub so i can load you up,Bullish
dbx really you be down in this exuberance just how much must insider buy in the open market to tell fund manager the future be bright ceo buy be not more telling than sell by cto and chief accounting officer still wait to add to marker position,Bullish
intel xe gpu progress allegedly not go well currently rumor to feature low efficiency than competitors intc show problem with their new xe gpu and now seem that it will be release in the timeframe with some issue while bac stupidly think intc be buy even as intc doesnt have any compete product until intc have no compete product against amd until at least the first thing which he point out be that progress on intel xe gpu isnt go well do keep in mind that this be the first iteration of the xe gpu which be be talk about and not the nm revision which would be feature in the ponte vecchio graphic chip progress isnt go well on xe gpu ponte vecchio hpc gpu may not launch within the next year the efficiency of xe gpu be really low compare to competitor no aib support on launch only reference model for discrete graphic card sell by intel driver need lot of time to improve amd gs bac,Bullish
gs bank stock continue to look quite bullish here to me xlf,Bullish
gs gs breakout watch at uptrend support time for move up possibly look for move over,Bullish
amd decimate intel with share at germany large retailer with amd stock gain over the last year sonce february it be on initial stock recovery only amd will go in high performance product profit run like nvidia who go from to in around year the company just achieve new record for its sale at germanys large retailer claw even more market share from intel the company clock in at of total cpu sale in november up from in october the market share increase be lead primarily by the ryzen and processor in term of total revenue amd processor account for of all processor sell due to low asp than their intel counterpart while intel clock in at amd clock in at represent more than processor sell during the month of november while intel cpu ship in an average quantity of amd intc gs,Bullish
jpm nov pretime analysis recommend positions gt long bullish search for the forecast timing chart of day in the future average price target within day in the future price change todays supply demandsampd strength gt supply demand strength have change from weak sell flow to suddenly strengthen selling flow supply demandsampd strength trend today gt in the midst of an adjustment trend of downward direction box pattern price flow mark by limited rise and downward fluctuation,Bullish
twtr spy good week bird,Bullish
twtr trash,Bearish
twtr and sq what joke of company what joke of ceo,Bearish
dis twtr today be great day to watch my favorite movie the wolf of wall street,Bearish
twtr jack be back,Bearish
twtr market will go up point tomorrow,Bullish
twtr see move to the day move average currently at especially with fb on the rise,Bullish
twtr watch this go up i will make big money,Bullish
twtr jack dorsey need your money for thanksgiving so he can get new run spandex,Bearish
twtr get ready for the crash friday,Bearish
twtr glad i sell want big position down in the,Bearish
twtr cfo slowly come around jan call,Bullish
twtr cfo,Bullish
twtr this be grind,Bullish
will soar go higher and higher i tell you to buy much early twtr spy btcx,Bullish
roku uaa twtr shak all ta have golden cross with the bull market buy more share,Bullish
twtr snn chart on both look great still long,Bullish
twtr just continue to move on that support from day ago twtr awesome move for long call,Bullish
twtr sq over time i have learn how terrible of company twitter and sq be they screw the investor so bad in every possible way,Bearish
top swing play to watch snap nvta sq chwy coty eye blueheart fire,Bullish
snap i pick up some put here,Bearish
gpro insg nvta snap option swing work well so far thumbsupmedium darkskintone blueheart,Bullish
you think it be over stupid bear goog snap baba btcx msft,Bullish
snap consolidate for spring up,Bullish
snap wow it be like it do not want to stop fight while it be push down what be go on in here,Bullish
snap we recommend sell because of the high value of the stochastic target for the moment,Bearish
time have just come to punish you goog snap baba btcx msft,Bullish
alright time to pay for the previous day aapl nflx tsla amzn fb,Bullish
nflx consider it do,Bullish
nflx ya what else could we expect from this dog shit bias market marker same shit every day,Bearish
nflx out today hopefully we get good number on monday,Bullish
amzn fire directhit aapl fb nflx roku,Bullish
nflx add some jan monthly put in netflix bearish on this name,Bearish
nflx dis dell roku shift down,Bearish
tsla you can not stop this incoming drop,Bearish
tsla timberr,Bearish
tsla about cbtks be order each hour in north america and around the world with order already confirm short be about to be cyberstrucke,Bullish
tsla this fraud will go lower today on low volume still chance to get out enron musk go on trial huge disaster huge loss china an even big disaster see you at,Bearish
tsla load those put,Bearish
tsla these bear be really fight this foldedhandsmedium darkskintone airplaneselector rocket fullmoon dollarbanknote,Bullish
tsla owner think be go bankrupt just like ford owner think tesla go bankrupt emotion will ruin perfectly good investment,Bullish
we know the answer tsla be fraud the model why be an even big disaster than goofy model musk be desperate very desperate,Bearish
tsla epic bull trap,Bearish
snap weak open like always,Bearish
snap its full of rookie bull again on this board as contrarian think its time to open new position possibly you guy be go to cry when this gap back down to dollar hope for everyone here sake it will not but do not see how it will not,Bearish
snap today anyone see any reason why or why not we can get there today rocket crossedfingersmedium lightskintone,Bullish
snap these share have approximately of actual value if you extrapolate cash flow growth over the next year they shouldnt be trade in the range,Bearish
tech stock to watch tomorrow snap twtr jd fsly car eye blueheart fire,Bullish
snap dum sum dont even know bearish harami happen with the green candle nearby,Bullish
snap,Bearish
snap bearish harami cross bear flag lady and gentleman we be now enter bear territory please have the ability to run fast than the person next to you,Bearish
snap skipper be happy in the morning then sad by pm,Bullish
snap pin huge cover on both of these today very long,Bullish
snap guy today be not bullish on the daily,Bearish
snap consolidate to move up,Bullish
snap massive covering,Bullish
snap constipate for now huge dump after thanksgiving,Bearish
chgg continue golden cross pende all ma rise lt ascend chnl above at to rise ma say pm chgg in mode today now above all mas which be rise recent volume ok not great ta be strong except for cmf which be still below and look dead hold,Bullish
chgg would not mind see by the end of the year,Bullish
chgg good jump,Bullish
chgg chegg stock resume with overweight by morgan stanley,Bullish
chgg push me over the edge today and to be fair this have be on my list of possible buy for while but i jump in long today with small position also buy risky life sci stock this am axnx and qtrx do buying now good luck to us long here,Bullish
gsector buy wk edu tsn chgg mo olli tgt pfgc burl dg kr consumer defensive xly xlp growthstock stock finance investment,Bullish
chgg also let it simmer,Bullish
mu investor reposition put protection imo up buck tomorrow,Bullish
mu go green last bounce off day break this time,Bullish
amd mu nvda intc entire sector pull back accept the most bloated of them all can not make this stuff up,Bearish
mu this level should hold and could close green today,Bullish
gap fill on mu as you call it,Bullish
mu nasdaq down it be ok go over by next friday,Bullish
mu come next short term rally,Bullish
fb this attempt be different from previous attempt,Bullish
fb sneaky cross while everything else be down,Bullish
twtr attack on here we come fb about to break above twtr will follow imo,Bullish
fb do well so far,Bullish
fb parabolic,Bullish
fb nice pullback get at can be near in short day,Bullish
own the outperformers amzn fb spy,Bullish
fb congrat if ur still hold be mad tear wish follow those leap get distract again lol,Bullish
fb well than hide out in cash,Bullish
fb see as the target yday resistance here but if the get down to would be nice play for rest of week,Bullish
how will this affect the market rs price may climb as it break low bollinger band view odd of uptrend,Bullish
rs daily when it come to steel stock reliance steels ticker symbol still stand for relative strength,Bullish
gsector sell wk mos sqm ash iff rs materials xlb growthstock stock finance investment,Bearish
overvalued signal alert rs more insight,Bearish
rs reliance steel stock price target raise from to by cowen,Bullish
snap sell fit too early meh profit be profit but hurt lol snap show me something,Bullish
snap gt twtr gt pin gt fb in that order ghost ghost ghost,Bullish
snap announce something bullish snapchat,Bullish
snap old resistance become support on route to whiteheavycheckmark,Bullish
point away from all time highs here be your top ranked stock rs stld nue intc appl,Bullish
ttm winkingface,Bullish
ttm at buy stock pick alert on october at am et stock,Bullish
ttm just become er since great move profit take near should be expect,Bullish
ttm we break then be must right stop well in the green,Bullish
ttm pay tience before er potential hold on half position,Bullish
ttm spy great entry here good gap up today still high risk er play for long position and no dividend but the risk have great reward and entry be to good to not take those chance,Bullish
msft be bargain go much high planning to add trade relate dip aggressively,Bullish
sq amzn aapl msft the fake news hit piece tonight about trade deal make me feel even more confident that the market be on the verge of massive breakout jmo of course,Bullish
spy expect gap up on stock that dump in ah and still havent recover expect gap up on aapl ko msft and more,Bullish
day trading buy jpm and target price good luck,Bullish
dbx it be buy,Bullish
amzn look for cross spy cross nflx expect breakout right from pypl be cross hold back all bank nasdaq also watch acn cvx intc gl,Bullish
nflx be we go to bounce i only can hope,Bullish
nflx i be not even republican and can see this be major liberal propaganda,Bearish
spy nflx be you fuck kid me nflx make doc about undocumented immigrant akaillegal and we be some how suppose to have sympathy for those who come here knowingly break law i feel sorry for this kid bear here but it be either separation or deportation let them blame their parent for dumb choice,Bearish
spy fang stock not lead mkt down here becareful all down or less today possible bottom if they rally tomorrow fb nflx aapl,Bullish
nflx big drop day and netflix holding someone big be buy when we get up day tomorrow or friday netflix will move up crowd too,Bullish
nflx nice consolidation after sharp selloff this past week acquire starter put position here today expect significant selling to resume next week,Bearish
tell you this be go to nflx will also as well,Bearish
some stock i be look for bounce in shop ttd roku nflx spy,Bullish
hold long chartincreasing smilingfacewithsmilingeyes moneybag amzn nflx fb nvda aapl,Bullish
fb after er day,Bullish
fb libra be come it be an experiment and watershed moment and will be give the go,Bullish
fb political stunt by democrat please remember this when each and everyone of them with no exception be ask for your support it be our fault because we put them there let 's vote them out of the system,Bullish
fb no libra straight to very soon imo,Bearish
fb be about to go green in few minute spy,Bullish
tsla vincent prototype tesla model testing on the road alarmclock automobile rocket,Bullish
source for tsla average delivery day,Bullish
tsla average delivery day few day ago they be quotfewquot short of can we pass can we do the math yanggang anyone,Bullish
tsla the low volume pumping remind me lot of pre er thinkingface,Bearish
tsla good news start get commission on online stock etf and option trade for td trader,Bullish
tsla,Bullish
tsla look good for break resistance eod,Bullish
tsla predict delivery,Bullish
tsla fake pop before dump,Bearish
tsla be not yet number announce shixx,Bearish
tsla look good bear we need that to break,Bearish
tsla gap fill,Bullish
snap do not think moffett nathansons pt yesterday would get us here but here we be im stick with aegis pt though,Bullish
only happen if market crash many more stock be much overvalue than snap this be decent under not many leave if not hard to find,Bullish
snap this need to go below hope after earning,Bearish
snap here come the spike,Bullish
snap watch out for fb come into this space,Bearish
snap very attractive price to get in for er play,Bullish
snap this be the bottom before er buy now guy do not regret later,Bullish
snap this be my purchase history within week share share load up wait for the er and november if the price go back to i be not talk about i will have decent profit pt,Bullish
snap buy share more at,Bullish
close out put on aapl and snap here unusual bullish flow detect for weekly now,Bullish
snap so many buyer at we bull will be come like zombie we never die give up shortie,Bullish
snap fall wedge bullish pattern form on intraday chart look for breakout soon above,Bullish
snap fb test disappear message,Bearish
mu hurry buy buy buy dip buyer so you could sell at,Bullish
mu well this be not nice be so loyal and have to sell share and this be how you pay me back sanjay,Bullish
mu technically the share dump would not be profitable for another point but the share get they be profitable now will get back in bit later hold my base cause its all about the bass,Bullish
short xlnx short mu,Bearish
spy qq aapl xlnx mu economy be weaken more and bad ism number and growth stock be get hit hard meaning tech be laggard,Bearish
mu wouldve think rout like this would take mu to positive be an unusual strength gem gl,Bullish
mu trim sqq gl,Bullish
mu we be reach the last level of decline get ready for the bull along the way,Bullish
mu micron have bad earning and guidance downarrowselector hundredpoint,Bearish
potential swing trade achn mu rpm kkr csx not so much opinion welcome,Bullish
mu day rule fully in tact enjoy the ride back to,Bullish
mu figure sell to get something then it pop while be on the other thing wait for it to pop though the other thing will make lot more in the same move hopefully my evol plan will come to fruition and can sell to get back in argghh,Bullish
ttm at sell stock pick alert on september at am et stock,Bearish
ttm at buy stock pick alert on september at am et stock,Bullish
ttm welcome new investor,Bullish
vlo gs abt utx dd be our stock opportunity for buy long but with high risk than our top suggestion more information about buy price range chart and expect buy return be give in our closing bell video only on justrading youtube channel check it out remember to subscribe and click the bell to be up to date with our daily stock analysis and suggestion that we give it for free thank part,Bullish
gs still ridiculously cheap stock price should be minimum,Bullish
top news sentiment gainers the sentiment positive and change be show next to the ticker these be pick base on news volume and sentiment deviation gs amgn ibm aapl amzn,Bullish
dbx bargain of the year by some margin,Bullish
alps pm vol be now alps alert dbx exp sept strike post in dailytrade today at am view message now the vol be join slack channel great admin,Bullish
dbx,Bullish
dbx nice money flow on this take the weekly thank,Bullish
dbx we grab call here,Bullish
gs have approximately go to the short side at pct short the bears be few,Bullish
aapl gs buy the dip that the cause lol,Bullish
aapl no talk about goldman gs back apple credit card lol bullish candle at ema likey,Bullish
nflx market be go to be bad should have take your profit last week,Bearish
dis nflx big question that will decide who subscribe to what streaming service would you rather have disney and hbo or disney and netflix will you subscribe to aapl and amzn because of their bundling deal,Bullish
fb facebook be reportedly look to launch tv stream device roku nflx amzn dis,Bullish
memo to new user stocktwit do not care about you stocktwits do not care if you lose money stocktwits do not care if you listen to troll that just join yesterday and be spout nonsense about how they be short or they be sell this or that my advice block any bear that just join in the last year and be post doom and gloom bs about stock you be interested in because they be troll and their opinion do not matter hear me come on troll i be call you out skumm exclamationmarkyour opinion be bull cowface let us go come at me oncomingfist fb aapl tsla spy,Bullish
fb,Bullish
mtch fb sophia be fan on date app,Bullish
gindustry buy wk fb wuba wb jd googl grub momo mtch iac twtr internet content fdn kweb growthstock stock finance investment,Bullish
fb have approximately go to the short side at pct short the bears be few,Bullish
fb some nice buy come in ah,Bullish
fb first off facebook do not have to practice any antitrust because they be the big damn thing on the planet second if few country ban libra i feel like it will only make it more coveted call me crazy winkingfacewithtongue,Bullish
jpm good luck to the long have small put position short term if this pop i will start buy leap put for mid term,Bearish
jpm all time high and its strong buy catch the train and ride to next ath and exit before fed,Bullish
bac jpm gs rise in treasury yield can help boost bank profit as it can increase the spread what bank earn on long term asset that be fund with short term liability bac by end of next week,Bullish
on aug th be i say quotfor the us main bank gs on aug buy it jpm on aug buy it bac on aug buy it ok investor you have just hear here first this be base on my own quantitative analysisquot so if you buy those stock during my post you would have be earn profit now however they have peak til now what i would do be to cash out my profit by early october also you can take your profit today or next week if you be not greedy good luck,Bullish
jpm im in,Bearish
jpm patience have pay off so far but as trader get to take some profit,Bullish
tsla tesla autopilot safety feature help save cop run red light,Bullish
tsla these bull tear taste so delicious mm beamingfacewithsmilingeyes loudlycryingface unitedstates chartdecrease,Bearish
tsla be rule break innovator it take long to make inroad when there be establish moneyed interest big oil that you be seek to put out of business,Bullish
tsla this pin be brutal,Bullish
tsla nvda amd aapl we need that optimism at finish phase,Bearish
tsla cmon you stupid stock,Bullish
tsla today reason not to buy weekly option,Bullish
tsla post to search in future think first weekly close over will be major trigger for straight line to current range be,Bullish
tsla bullish bullish bullish setup ride it to the fake double top,Bullish
tsla get down you dog,Bearish
tsla just such cruel cruel head fake on poor bear here pileofpoo bearface pileofpoo,Bullish
tsla plaid mode hmm mee haappyy smilingfacewithsmilingeyes,Bullish
tsla,Bearish
aapl really interesting how gs who partner with aapl on the new card doesnt gs see the revenue be generate and wouldnt opinion move the aapl stock be an independence issue it should be,Bullish
aapl i rather bet against warren buffett than gs goldmine sacks babemafia mention my name on the daily email newgoal,Bearish
mu gs damn goldman drop aapl pt to give me that price and i will load the mf boat,Bullish
aapl in the gs rig casino gs have pg at buy pt while it show current pe over and earning growth of for next year aapl otoh have pe of and earning growth near for next year so btfd gs be fos,Bullish
aapl twohearts gs clownface downgrade it with pt mangettingmassageselector hold from sure i will be sell at the bellhopbell grinningsquintingface,Bullish
dbx have approximately go to the short side at pct short the bears be few,Bullish
td sell dbx at supp resis hilo ty buy fwdpe div dropbox i stock trade finance market,Bearish
baba aapl should buy dbx at those level and make deal handshake with chinese friend,Bullish
dbx whats the moat,Bearish
dbx absolutely believe this stock be the bad investment still hold,Bearish
box crm acquisition deny by levie so they go after dbx and realize dropbox have terrible enterprise potential,Bullish
docu hmm docu use sig as their way into an ent and then look to upsell to agreement cloud while adbe and dbx have their core offering and use those to cross sell their sig solution not sure it warrant this high of valuation maybe sale vs,Bearish
muaapcatmsft trump and mnuchin get the big bank ear and its very obvious they be hold up the market market will not crash or correct unless big bank decide to sell and they be not sell least for now market will be range bind trade what you see not what you want to have happen rinse and repeat spy,Bullish
mu may be the good bull flag out there right now,Bullish
be this good for your portfolio mu price may drop as it break high bollinger band view odd of downtrend,Bearish
nvda on mu lrcx monster semi day nvda call up huge have to roll up before close roll mu call up again load stock too lrcx and on i love on as an iot play too,Bullish
amd mu mrvl congrat all long and bull be nice couple of day,Bullish
aapl i be expect slight pullback tomorrow,Bearish
nio aapl cron all pay nice plus on alert today hope all make some gain with us for free as always,Bullish
aapl just say facewithmonocle safety pay sometimes be well to hedge then miss out imho,Bullish
aapl next week collision collision collision,Bullish
aapl and let us call it day,Bullish
aapl that be silly for that quick flash to who would sell there scared people keep hold aapl go past by next week,Bullish
fb facebook users phone numbers werent protect aapl baba msft goog,Bearish
goog ok add here let us go tomorrow or next week,Bullish
googl goog insert quotits be yearsquot meme this chop feel like an eternity,Bullish
goog if it close above i be add here,Bullish
goog call me at monster base,Bullish
goog this be what you want to see me gusta,Bullish
it have be pump amp dump for age since when low tech small cap can win war against amzn aapl and goog combine the odd be so low for this crap to succeed with their crappy ui and ad spam,Bearish
goog we need close above and we will see tomorrow or next week,Bullish
goog up because people think it pay too little for the most recent settlement on violate child privacy sept th new investigation will be announce into google for break antitrust this be much bad and will not result in tiny settlement,Bearish
gobble up share in wmt and goog be the right thing to do,Bullish
bac fas jpm if this hasnt gap up too much im look at oct call,Bullish
aapl gap it up to tommorw to keep the momentum go,Bullish
aapl porsche taycan will be capable of play apple digital masters file for studio quality sound from library that include more than song,Bullish
tsla tesla autopilot be find partly to blame for freeway crash nio spy aapl amd,Bearish
aapl simply too easy,Bullish
aapl close look okhandmedium lightskintone,Bullish
aapl close at resistance likely go to breakout tomorrow huge rally come to more and i dare say last new high,Bullish
aapl any change on stock price after apple bond deal wednesday,Bullish
aapl love it,Bullish
spy aapl qq lb ism under be follow by even low corporate earning trade uncertainty will exacerbate us growth,Bearish
aapl next week would not surprise me,Bullish
nflx amzn fb msft aapl buy cgc ahead of cnbc special tonight on cbd and weed industry cgc should pop sharply tomorrow,Bullish
msft ath be come,Bullish
msft strong flexedbicep,Bullish
so many great setup with momentum everywhere today play amzn twtr twlo msft spx,Bullish
fb and msft monster rally hurry and get it,Bullish
msft massive upgrade eye,Bullish
msft cloud giant pt give by credit suisse today,Bullish
msft the only dollar company should be keep buying,Bullish
msft even that junk tops be do well than mst i be sad today pleadingface still bullish though,Bullish
msft first target,Bullish
msft cmon,Bullish
ttm see change of pct at pct short the bears be swarm,Bearish
be the daytrader watch this ttm macd histogram just turn negative view odd of downtrend,Bearish
ttm at buy stock pick alert on august at am et stock,Bullish
ttm company for not bad,Bullish
ttm wtf tata know worth way morethan this cmon,Bullish
aapl what the benefit of apple card over exist credit card but who care fanboys will drive stock up regardless,Bullish
aapl buy buy buy,Bullish
anyone get theirs aapl spy qq chartincrease chartincrease chartincreasing,Bullish
aapl,Bearish
aapl hold on to these early gain amp it will be great day gimme amp no fade,Bullish
anyone apply for the apple card aapl i do,Bullish
spy qq aapl lb jbht downarrowselector yenbanknote fire with the drop in july follow the drop in june and the drop in may we repeat our message from last month the shipment index have go from warning of potential slowdown to signal an economic contraction write donald broughton the report author and principal of broughton capital we acknowledge that all of these negative percentage be against extremely tough comparison and the cass shipments index have go negative before without be follow by negative gdp however weakness in demand be now be see across many mode of transportation both domestically and internationally,Bearish
aapl the daily look weak,Bearish
nflx competition be come as consumer i have most of the usual suspect but with dis aapl tv hulu wwe cbs i think we will see more lean and mean decision make still long nflx tho it be not go anywhere,Bullish
dis nflx aapl streaming war be go be huge in this year place your bet,Bullish
aapl chartincreasing chartdecreasing,Bearish
tsla this be all bs fueled amp sponsor by shortsellers specifically vulture funds the criminal chanoes read carefully the lawsuit the timing coincidence no sir billion be pay to short the stock bring it to legal fee be change in the pocket compare to the money earn of these put sec amp other gov agency will care less walmart be get crush by amzn and will be destroy legally by tesla wise up,Bullish
amzn friday jackson hole powell shorts or long,Bullish
amzn support resistance last day of trading amzn price change on average of daily out of day whopping day end in red august th see the large drop this be classic bearish resistance be futile chart be attach,Bearish
amzn pre market again be show all the sign of bull trap i would load up on put for oct nov and dec if price go above tomorrow market will bounce up sporadically but not by much the correction be at the gate and so be recession,Bearish
shop finish ah near hod even with bearish market and tumble index get ready for tomorrow y' all this be like buy amzn on commerce and dropshippe be the future do not miss the boat rocket sparkle crescentmoon spoutingwhale motorboat sparkler womanclimbingselector,Bullish
snap have good run today hopefully it will increase tomorrow,Bullish
snap now time to release some news to move higher,Bullish
snap coil nicely and look ready for breakout above ema at and run toward be patient and youll be kindly reward,Bullish
lol ask yourself gtgtwhyltlt snap rocket after last er yep more advertiser,Bullish
all that matter be that advertiser see snap as viable vehicle for them,Bullish
snap hourly be present more downside let 's see if hold tomorrow,Bearish
snap bull trap today suck it bull,Bearish
snap man this thing be turn into nail biter fourleafclover,Bullish
snap come on power hour,Bullish
buy to close snap expire strike hedge puts cover naked for small gain after be underwater on paper for quite while write next weeks strikes for few cent more than the cover,Bearish
snap this should kick start the market qq djia spy,Bullish
snap constructive also twlo mtch zen crm,Bullish
nflx get up you bastard,Bullish
nflx timberr,Bearish
nflx real bad news from aapl today do not know aapl be so serious about pursue online stream,Bearish
nflx back to range apple stream content will steal lot of customer like me sick of nflx always the same old crap pretty much all the time and i pay for the pos,Bearish
roku i have question why would user buy roku dongle and have to give away their privacy to advertiser and put up with big ad while they can cast nflx aapl dis or hbo content right from their phone i think roku be take advantage of the least affluent and least educated folk in the us what bunch of crook,Bearish
nflx will pull back lower due to competition from aapl online streaming be the core market aapl be chase now ouuch nflx apple have commit more than to original content ahead of stream launch report,Bearish
nflx otm call option seem cheap lookin at the regular sept chain,Bullish
bynd jpm see it be technically about to gap low thats why they do it,Bearish
bynd cant blame jpm for try to get out of their position,Bearish
bynd meanwhile jpm be barely able to hold buck stock price,Bearish
amzn twtr chinese government post on twitter like the degenerate bear here every minute so pathetic manfacepalmingmedium lightskintone beg for their bashing to help manfacepalmingmedium lightskintone manfacepalmingmedium lightskintone manfacepalmingmedium lightskintone,Bullish
dropcar turo next facebook twitter fb twtr dcar,Bullish
twtr share this last friday with long position i buy into it be prove to be true today and i also think twitter will continue to rise throughout this week,Bullish
twtr eye,Bullish
twtr break out today long in the trend trade letter,Bullish
twtr look quite nice here would like to see move over tho,Bullish
twtr weeklys return me just from this daily candle wow,Bullish
whats well than twitter twtr,Bullish
dbx dollar stock garbage,Bearish
dbx hopefully will be positive event,Bullish
dbx this train wreck just keep get bad down more than in year and their competition be both fierce and free manfacepalminglightskintone manfacepalminglightskintone manfacepalminglightskintone ultra,Bearish
snap and its still up above its rise dma,Bullish
twou ostk ge snap sq trump be right that the fed must act quickly market be in trouble and if the fed do not act quickly and prudently it will get ugly fast i be expect another bps to happen soon,Bullish
snap volume say it all tomorrow we rally,Bullish
snap double bottom on the min,Bullish
snap the way the market be do i be pretty sure this will double bottom will wait till then to load up big,Bullish
snap year old girl do not have dollar who in the world will buy this overpriced ugly thing,Bearish
shorts in snap will demolished,Bullish
snap bullish crossover macd be off to the races,Bullish
snap be recession tarif proof amp be start the mid day reversal will hit imo with bull flag amp recent show tute fund loading up big time spy djia djia,Bullish
snap bull run be about to begin,Bullish
snap time to squeeze the shorts,Bullish
snap if this can not hold i be look for if that break we fall to,Bearish
yes look to add mu at xx gl,Bullish
spy muppet where the heck be you spy rollercoaster downarrowselector qq aapl mu lb thumbsdown,Bearish
nibble at couple of favorite i trim on pop amzn nflx look to buy twtr mu low,Bullish
spy qq aapl mu lb market have fat gain big positioned professional trader be sell take money off the table take off risk bomb hundredpoint prudent,Bearish
ttm great example of use you chart for low atr stocks and swing trading last setup on,Bearish
nflx close red bears still win the day grinningface,Bearish
